experiment_id,group_cols,rmse_purchase,rmse_redeem,total_rmse
241,month_period|is_holiday|is_next_workday|is_workday_shift|is_month_end|is_long_holiday,58012058.881402664,65079599.87771439,123091658.75911705
242,month_period|is_holiday|is_next_workday|is_workday_shift|holiday_len|is_long_holiday,58382684.05457163,65342117.70458929,123724801.75916092
243,month_period|is_holiday|is_next_workday|is_month_end|holiday_len|is_long_holiday,57675375.34125069,64605310.38167809,122280685.72292878
244,month_period|is_holiday|is_workday_shift|is_month_end|holiday_len|is_long_holiday,59316419.01486186,67565326.26904812,126881745.28390998
245,month_period|is_next_workday|is_workday_shift|is_month_end|holiday_len|is_long_holiday,57484730.70844767,64411326.734656505,121896057.44310418
246,is_holiday|is_next_workday|is_workday_shift|is_month_end|holiday_len|is_long_holiday,63751213.040406555,66269147.347608946,130020360.38801551
247,weekday|month_period|is_holiday|is_next_workday|is_workday_shift|is_month_end|holiday_len,50762908.72918816,61209501.34965496,111972410.07884312
248,weekday|month_period|is_holiday|is_next_workday|is_workday_shift|is_month_end|is_long_holiday,50762908.72918816,61209501.34965496,111972410.07884312
249,weekday|month_period|is_holiday|is_next_workday|is_workday_shift|holiday_len|is_long_holiday,52038820.11358413,62392598.31117603,114431418.42476016
250,weekday|month_period|is_holiday|is_next_workday|is_month_end|holiday_len|is_long_holiday,50762908.72918816,61209501.34965496,111972410.07884312
251,weekday|month_period|is_holiday|is_workday_shift|is_month_end|holiday_len|is_long_holiday,51150373.37284077,61290770.68325647,112441144.05609724
252,weekday|month_period|is_next_workday|is_workday_shift|is_month_end|holiday_len|is_long_holiday,50762908.72918816,61209501.34965496,111972410.07884312
253,weekday|is_holiday|is_next_workday|is_workday_shift|is_month_end|holiday_len|is_long_holiday,58653179.47551704,64083750.69499502,122736930.17051207
254,month_period|is_holiday|is_next_workday|is_workday_shift|is_month_end|holiday_len|is_long_holiday,57484730.70844767,64411326.734656505,121896057.44310418
